group,url,reviewed_date,role,access_note,nutrition_policy
Gerry's Grill,https://gerrysgrill.com/PH,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Max's Restaurant,https://delivery.maxschicken.com/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Official delivery search-index listing reviewed; direct open failed.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Giligan's,https://delivery.giligansrestaurant.com/collections/all,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Ilocos,https://app.philippines.travel/articles/intro-to-ilocos-norte,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Cagayan Valley,https://www.tourism.gov.ph/article/all-the-must-try-food-when-in-region-2/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Cabagan supporting source,https://mirror.pia.gov.ph/features/2023/07/21/pansit-batil-patung-remembering-how-it-all-began,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Iloilo and Negros,https://pia.gov.ph/features/culinary-gem-iloilo-the-city-of-love-and-gastronomy/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Bicol,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Mindanao,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Cordillera,https://www.pcaarrd.dost.gov.ph/index.php/quick-information-dispatch-qid-articles/etag-s-safety-requirements-recipes-and-packaging-tackled,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Visayas,https://www.evsu.edu.ph/wp-content/uploads/2024/07/PBD-2024-07-14-1.pdf,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Primary identity page reviewed via browser search/open. Historic descriptions may not establish current menu availability.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
