recipe_id,variant,fnri_review,existing_related_food_ids,decision
PH_DISH_001,"Adobong manok, white meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000633,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_002,"Adobong baboy, pork belly",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000634;FC000635,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_003,"Adobong baboy, lean shoulder",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000634;FC000635,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_004,"Adobong manok at baboy, white meat and belly",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_005,"Adobong pusit, no ink",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_006,"Adobong kangkong, leaves",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_007,"Adobong sitaw, with lean pork",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_008,"Tinolang manok, white meat, sayote and malunggay",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_009,"Tinolang manok, white meat, sayote, no added oil",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_010,"Sinigang na baboy, belly, tamarind and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
