food_id,name,fnri_related_ids,existing_related_food_ids,decision,nutrition_status,identity_source_url
FC002840,Botejyu Philippines Teriyaki Chicken Salad (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://botejyu.com.ph/
FC002841,Botejyu Philippines Chawanmushi Egg Custard (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://botejyu.com.ph/
FC002842,Botejyu Philippines Cheesy Pork Belly Tonpei (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://botejyu.com.ph/
FC002843,Botejyu Philippines Tamagoyaki (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://botejyu.com.ph/
FC002844,"Panda Express Philippines Orange Chicken, entree only (estimate)",,FC002171,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.pandaexpress.com.ph/our-food
FC002845,"Panda Express Philippines Kung Pao Chicken, entree only (estimate)",,FC002173,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.pandaexpress.com.ph/our-food
FC002846,"Panda Express Philippines Chow Mein, noodles only (estimate)",,FC002176,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.pandaexpress.com.ph/our-food
FC002847,"Panda Express Philippines Fried Rice, rice only (estimate)",A021;R104,FC001308;FC001309;FC002186;FC002530,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.pandaexpress.com.ph/our-food
FC002848,"Royal Indian Curry House by Swaadisht Philippines Murg Makhani Butter Chicken, curry only (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.foodpanda.ph/restaurant/ue3h/royal-indian-curry-house-by-swaadisht-ue3h
FC002849,"Royal Indian Curry House by Swaadisht Philippines Chicken Biryani, rice and boneless chicken (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.foodpanda.ph/restaurant/ue3h/royal-indian-curry-house-by-swaadisht-ue3h
FC002850,"Royal Indian Curry House by Swaadisht Philippines Egg Biryani, rice and egg (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.foodpanda.ph/restaurant/ue3h/royal-indian-curry-house-by-swaadisht-ue3h
FC002851,"Royal Indian Curry House by Swaadisht Philippines Prawn Curry, curry only (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.foodpanda.ph/restaurant/ue3h/royal-indian-curry-house-by-swaadisht-ue3h
FC002852,"Mister Kabab Philippines Beef Special Chelo Kabab, modeled rice and beef (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.misterkabab.com.ph/
FC002853,"Mister Kabab Philippines Chicken Special Chelo Kabab, modeled rice and chicken (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.misterkabab.com.ph/
FC002854,Mister Kabab Philippines Shawarma Sandwich (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.misterkabab.com.ph/
FC002855,"Mister Kabab Philippines Chicken Barbecue, edible chicken only (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.misterkabab.com.ph/
FC002856,Banana Leaf Philippines Malayan Seafood Laksa (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://bananaleaf.com.ph/menu/
FC002857,"Banana Leaf Philippines Hainanese Chicken Set Meal, modeled chicken and rice (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://bananaleaf.com.ph/menu/
FC002858,Banana Leaf Philippines Malayan Chicken Curry with Potatoes (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://bananaleaf.com.ph/menu/
FC002859,Banana Leaf Philippines Penang Char Kway Teow (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://bananaleaf.com.ph/menu/
FC002860,"Shake Shack Philippines ShackBurger, single sandwich (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.shakeshack.ph/
FC002861,"Shake Shack Philippines SmokeShack, single sandwich (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.shakeshack.ph/
FC002862,"Shake Shack Philippines Hamburger, single sandwich with lettuce and tomato (estimate)",F232;R007;R008;R030,FC000357;FC001020;FC001021;FC001218;FC001995;FC002028;FC002034;FC002235,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.shakeshack.ph/
FC002863,"Shake Shack Philippines Grilled Cheese, sandwich only (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.shakeshack.ph/
FC002864,"Oyakodon, chicken and egg over rice (Japanese) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.justonecookbook.com/oyakodon/
FC002865,"Gyudon, beef and onion over rice (Japanese) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.justonecookbook.com/gyudon/
FC002866,"Mapo tofu, pork version, no rice (Chinese) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://thewoksoflife.com/ma-po-tofu-real-deal/
FC002867,Shrimp and egg fried rice (Chinese) (estimate),,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://thewoksoflife.com/shrimp-fried-rice/
FC002868,"Chana masala, chickpea curry, no rice (Indian) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.indianhealthyrecipes.com/chana-masala/
FC002869,"Chicken biryani, modeled boneless rice mixture (Indian) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.indianhealthyrecipes.com/chicken-biryani-recipe/
FC002870,"Chicken shawarma, meat only (Middle Eastern) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.themediterraneandish.com/grilled-chicken-shawarma/
FC002871,"Chicken kofta kebab, meat only (Middle Eastern) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.themediterraneandish.com/grilled-chicken-kofta/
FC002872,"Hainanese chicken rice, modeled boneless mixture (Singaporean) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.visitsingapore.com/content/dam/desktop/global/about-singapore/traveller-information/466-tos-singaporelbb-2015-complete-small.pdf
FC002873,"Laksa, shrimp coconut noodle soup (Singaporean) (estimate)",,,Distinct brand or specified cuisine recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.visitsingapore.com/content/dam/desktop/global/about-singapore/traveller-information/466-tos-singaporelbb-2015-complete-small.pdf
