food_id,name,decision,source_url
FC002875,"NESCAFE Original, dry coffee mix (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.nescafe.com/ph/coffees/formats/instant-coffee
FC002876,"NESCAFE Creamy White, dry coffee mix (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.nescafe.com/ph/coffees/formats/instant-coffee
FC002877,"NESCAFE Creamy Latte, dry coffee mix (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.nescafe.com/ph/coffees/formats/instant-coffee
FC002878,"Lucky Me Pancit Canton Original, dry noodles and seasoning (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://verification.fda.gov.ph/FoodProduct_Lowriskview.php?ACCOUNTCODE=FR-4000013266042&export=pdf
FC002879,"Lucky Me Pancit Canton Original, prepared 2.5x dry-mass yield (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://verification.fda.gov.ph/FoodProduct_Lowriskview.php?ACCOUNTCODE=FR-4000013266042&export=pdf
FC002880,"Lucky Me Pancit Canton Chilimansi, dry noodles and seasoning (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://verification.fda.gov.ph/All_FoodProductsview.php?ACCOUNTCODE=FR-4000008765235&export=pdf
FC002881,"Lucky Me Pancit Canton Chilimansi, prepared 2.5x dry-mass yield (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://verification.fda.gov.ph/All_FoodProductsview.php?ACCOUNTCODE=FR-4000008765235&export=pdf
FC002882,SkyFlakes Original crackers (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://mondenissin.com/our-brands/
FC002883,Fita Original crackers (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://mondenissin.com/our-brands/
FC002884,M.Y. San Grahams (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://mondenissin.com/our-brands/
FC002885,"Jack n Jill Piattos, cheese flavor (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002886,"Jack n Jill Chippy, barbecue flavor (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002887,"Jack n Jill Nova, modeled multigrain chips (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002888,"Jack n Jill Cream-O, chocolate sandwich cookies (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002889,"Jack n Jill Cloud 9, chocolate caramel peanut bar (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002890,"Oishi Prawn Crackers, original (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.oishi.com.ph/products/oishi-prawn-crackers/
FC002891,"Century Tuna Flakes in Oil, undrained (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002892,"Century Tuna Flakes in Brine, undrained (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002893,"555 Sardines in Tomato Sauce, undrained (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002894,"Argentina Corned Beef, as canned (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002895,"Argentina Beef Loaf, as canned (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002896,"555 Carne Norte, as canned (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.centurypacific.com.ph/brands/
FC002897,"Maling Chicken Luncheon Meat, as canned (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://verification.fda.gov.ph/FoodProduct_Highriskview.php?ACCOUNTCODE=FR-4000008566085&export=pdf
FC002898,UFC Tamis Anghang Banana Catsup (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://online.flippingbook.com/view/252312515/
FC002899,Datu Puti Soy Sauce (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://online.flippingbook.com/view/252312515/
FC002900,Silver Swan Soy Sauce (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://online.flippingbook.com/view/252312515/
FC002901,Datu Puti White Vinegar (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://online.flippingbook.com/view/252312515/
FC002902,Datu Puti Fish Sauce (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://online.flippingbook.com/view/252312515/
FC002903,Goldilocks Classic Polvoron (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong
FC002904,Goldilocks Cookies and Cream Polvoron (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong
FC002905,Goldilocks Classic Puto (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong
FC002906,Goldilocks Butter Puto (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong
FC002907,Goldilocks Leche Flan (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong
FC002908,Biko with condensed milk topping (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3130
FC002909,Suman sa ibos with ripe mango (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3153
FC002910,Kutsinta with condensed milk topping (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3141
FC002911,Palitaw with condensed milk topping (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3150
FC002912,Turon with vanilla ice cream (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3684
FC002913,Banana cue with vanilla ice cream (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://i.fnri.dost.gov.ph/fct/library/report/3683
FC002914,Starbucks Philippines Iced Caffe Latte (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002915,Starbucks Philippines Iced Caramel Macchiato (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002916,"Starbucks Philippines Caffe Mocha, modeled milk and chocolate (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002917,"Starbucks Philippines Cappuccino, hot (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002918,"Starbucks Philippines Hot Brewed Coffee, unsweetened (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002919,"Starbucks Philippines Coffee Frappuccino, modeled blended drink (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002920,"Starbucks Philippines Caramel Frappuccino, modeled blended drink (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002921,"Starbucks Philippines Chocolate Cream Frappuccino, modeled blended drink (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.starbucks.ph/menu
FC002922,"PICKUP COFFEE Kape Kastila, iced (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002923,PICKUP COFFEE Iced Caramel Macchiato (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002924,PICKUP COFFEE Iced White Mocha Latte (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002925,PICKUP COFFEE Iced Latte (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002926,"PICKUP COFFEE Cappuccino, hot (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002927,PICKUP COFFEE Iced Dark Chocolate Latte (estimate),Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://pickup-coffee.com/menu/
FC002928,"Cobra Energy Drink, original modeled sweetened liquid (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.7-eleven.com.ph/promos/participating-items-for-run-2026/
FC002929,"Sting Energy Drink Strawberry, modeled sweetened liquid (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.7-eleven.com.ph/promos/participating-items-for-run-2026/
FC002930,"C2 lemon green tea, modeled sweetened drink (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks
FC002931,"Athlene ACTIVE Whey Chocolate shake, 32.4 g powder plus 250 g water (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://athlene.com.ph/products/active-whey-protein
FC002932,"Athlene ACTIVE Whey Chocolate shake, 32.4 g powder plus 250 g whole milk (estimate)",Distinct brand/preparation/topping model. Generic FNRI components preferred; no exact branded nutrient match in retained FNRI. Existing foods preserved.,https://athlene.com.ph/products/active-whey-protein
