food_id,name,fnri_related_ids,existing_related_food_ids,decision,nutrition_status,identity_source_url
FC002720,"Poqui-poqui, eggplant and egg (Ilocos) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://app.philippines.travel/articles/intro-to-ilocos-norte
FC002721,"Dinengdeng, mixed vegetables with grilled milkfish (Ilocos) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://app.philippines.travel/articles/intro-to-ilocos-norte
FC002722,Bagnet with tomato and fish-paste relish (Ilocos) (estimate),,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://app.philippines.travel/articles/intro-to-ilocos-norte
FC002723,"Pancit batil patung, beef-proxy noodles with egg and broth (Cagayan Valley) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/all-the-must-try-food-when-in-region-2/
FC002724,"Pancit Cabagan, pork noodles with egg and sauce (Cagayan Valley) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://mirror.pia.gov.ph/features/2023/07/21/pansit-batil-patung-remembering-how-it-all-began
FC002725,"Sinanta, mixed-noodle seafood soup (Cagayan Valley) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/all-the-must-try-food-when-in-region-2/
FC002726,"Patupat, sticky rice with sugarcane reduction (Cagayan Valley) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/all-the-must-try-food-when-in-region-2/
FC002727,"La Paz batchoy, pork-liver noodles and cracklings (Iloilo and Negros) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://pia.gov.ph/features/culinary-gem-iloilo-the-city-of-love-and-gastronomy/
FC002728,"Pancit Molo, pork-shrimp dumpling soup (Iloilo and Negros) (estimate)",R100,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://pia.gov.ph/features/culinary-gem-iloilo-the-city-of-love-and-gastronomy/
FC002729,"KBL, kadyos baboy langka soup (Iloilo and Negros) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://pia.gov.ph/features/culinary-gem-iloilo-the-city-of-love-and-gastronomy/
FC002730,"Kansi, beef-shank and young-jackfruit soup (Iloilo and Negros) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://pia.gov.ph/features/culinary-gem-iloilo-the-city-of-love-and-gastronomy/
FC002731,"Pinangat, taro-leaf parcels with pork (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002732,"Pinangat, taro-leaf parcels with fish (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002733,"Kinalas, beef noodle soup with heart proxy (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002734,"Sinantolan, santol and coconut milk (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002735,"Kinunot, tuna and malunggay variant (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002736,"Kinaluko, taro with coconut milk (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002737,"Catandungan latik, rice cake with coconut-sugar topping (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002738,"Pili ice cream, generic dairy variant (Bicol) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/eating-through-region-5-a-taste-of-bicol-s-distinctive-cuisine-0/
FC002739,"Pastil, rice with chicken kagikit (Mindanao) (estimate)",M017;M018;M019;M020,FC000956;FC000957;FC001849;FC001850,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002740,"Pastil, rice with fish kagikit (Mindanao) (estimate)",M017;M018;M019;M020,FC000956;FC000957;FC001849;FC001850,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002741,"Pastil, rice with beef kagikit (Mindanao) (estimate)",M017;M018;M019;M020,FC000956;FC000957;FC001849;FC001850,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002742,"Piaparan a manok, chicken-coconut mixture (Mindanao) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002743,"Linigid na manok, chicken in coconut milk (Mindanao) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002744,"Beef rendang, Mindanao coconut-spice variant (Mindanao) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002745,"Palapa, spring-onion ginger chili proxy (Mindanao) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002746,"Dodol, coconut sticky-rice sweet (Mindanao) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.tourism.gov.ph/article/taste-the-philippines-through-its-halal-food-and-heritage-destinations/
FC002747,"Pinikpikan, chicken soup with salted-pork proxy (Cordillera) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.pcaarrd.dost.gov.ph/index.php/quick-information-dispatch-qid-articles/etag-s-safety-requirements-recipes-and-packaging-tackled
FC002748,"Humba, home-style pork belly and sweet soy sauce (Visayas) (estimate)",R054,FC001041,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.evsu.edu.ph/wp-content/uploads/2024/07/PBD-2024-07-14-1.pdf
FC002749,"Bam-i, mixed noodles with pork and shrimp (Visayas) (estimate)",,,Distinct brand or specified regional recipe model; existing source-qualified foods remain unchanged.,NOT_VERIFIED_EXPLICIT_ESTIMATE,https://www.evsu.edu.ph/wp-content/uploads/2024/07/PBD-2024-07-14-1.pdf
